"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
500002,"ABB LTD.    ","A ","Q",575.9,583,570.4,578.45,578.45,574.05,551,5896,3406317,,"14-02-2014"
500003,"AEGIS LOGIS ","B ","Q",148.5,150.9,147,148.1,147.7,147.6,484,5647,839545,,"14-02-2014"
500008,"AMAR RAJA BA","A ","Q",370,384.55,368,380.2,380.2,370.2,1317,29393,11090942,,"14-02-2014"
500009,"A.SARABHAI  ","T ","Q",3.35,3.5,3.28,3.49,3.49,3.4,33,10873,37213,,"14-02-2014"
500010,"HDFC        ","A ","Q",767,774.8,755.6,771.7,771.7,766.15,3675,90143,68971967,,"14-02-2014"
500012,"ANDHRA PETRO","B ","Q",9,9,8.03,8.45,8.45,8.22,61,9391,78468,,"14-02-2014"
500013,"ANSAL INFRAS","B ","Q",18.95,19.15,18.7,18.75,18.75,18.65,64,6948,130990,,"14-02-2014"
500014,"APPLE FINANC","T ","Q",1.79,1.79,1.79,1.79,1.79,1.71,25,35918,64293,,"14-02-2014"
500020,"BOM DYEING  ","B ","Q",53.45,53.45,50.9,51.1,51.1,53.05,3267,311107,16082002,,"14-02-2014"
500023,"ASIANHOTNR  ","B ","Q",98,99,97.7,97.75,97.75,102.8,29,170,16743,,"14-02-2014"
500024,"ASSAMCO     ","B ","Q",4.8,4.87,4.61,4.68,4.68,4.71,341,220595,1037069,,"14-02-2014"
500027,"ATUL LTD.   ","B ","Q",410.6,413,405.5,407.75,407.75,408.8,379,3877,1584517,,"14-02-2014"
500028,"ATV PROJECTS","T ","Q",1.96,1.96,1.81,1.96,1.96,1.87,30,10157,19804,,"14-02-2014"
500029,"AUTOLITE(I) ","T ","Q",15,15.05,15,15.05,15.05,15.5,3,350,5260,,"14-02-2014"
500030,"AUTORID.FIN ","T ","Q",0.86,0.86,0.78,0.86,0.86,0.82,4,1495,1246,,"14-02-2014"
500031,"BAJAJ ELECT.","B ","Q",225.4,231.75,222.5,229.4,230,225.05,1142,22500,5135758,,"14-02-2014"
500032,"BAJAJHIND.LT","B ","Q",13,13.05,12.51,12.63,12.63,12.93,992,300360,3814922,,"14-02-2014"
500033,"FORCE MOTR  ","B ","Q",306,306,281.65,286.85,288,295.9,167,2034,597411,,"14-02-2014"
500034,"BAJFINANCE  ","A ","Q",1490,1490,1460,1469.45,1461.1,1481.35,196,568,834800,,"14-02-2014"
500038,"BALRAM.CHINI","B ","Q",41.9,42.05,40,41.1,40.95,42,634,46555,1919894,,"14-02-2014"
500039,"BANCO PROD. ","B ","Q",57,57.5,55,55.6,55.6,55.25,179,6029,337133,,"14-02-2014"
500040,"CENTURY TEXT","A ","Q",294.7,296.7,286.7,294.45,294.45,292.95,3520,125936,36888714,,"14-02-2014"
500041,"BANNARI AMAN","B ","Q",715,715,715,715,715,715,54,2623,1875445,,"14-02-2014"
500042,"BASF INDIA  ","B ","Q",616,621.9,610,611.45,611,612.85,189,782,479314,,"14-02-2014"
500043,"BATA INDIA  ","A ","Q",998.2,1023,996,1018.6,1018.6,997.45,1424,18839,19078354,,"14-02-2014"
500046,"BEST&CROMPT.","T ","Q",3.5,3.74,3.5,3.74,3.74,3.57,7,1050,3826,,"14-02-2014"
500048,"BEML LTD    ","B ","Q",193.15,200.9,188.55,196.3,196.3,193.8,1451,44488,8660970,,"14-02-2014"
500049,"BHARAT ELECT","A ","Q",955,970,945,962.1,955.15,959.5,112,420,401139,,"14-02-2014"
500051,"BHAG GAS    ","T ","Q",0.8,0.84,0.8,0.84,0.84,0.8,5,2137,1727,,"14-02-2014"
500052,"BHANSALI ENG","B ","Q",12.37,12.37,12.37,12.37,12.37,13.02,2,2,24,,"14-02-2014"
