SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1047.00,1070.00,1027.35,1041.10,1041.00,1049.15,1880,9232,9650563.00,
500003,AEGIS LOGIS ,B ,Q,286.00,294.05,284.00,284.60,284.60,288.50,2052,21083,6045111.00,
500008,AMAR RAJA BA,A ,Q,495.00,498.00,480.00,493.65,493.65,494.85,875,10658,5243194.00,
500009,A.SARABHAI  ,T ,Q,4.00,4.30,4.00,4.12,4.12,4.16,25,4351,17992.00,
500010,HDFC        ,A ,Q,1037.00,1075.60,1037.00,1064.35,1064.35,1035.45,7723,623621,656748006.00,
500012,ANDHRA PETRO,B ,Q,9.10,9.34,8.92,9.00,9.00,9.07,186,43075,393464.00,
500013,ANSAL INFRAS,B ,Q,40.35,41.00,38.95,39.15,39.15,40.95,595,56436,2227334.00,
500014,APPLE FINANC,T ,Q,2.41,2.59,2.41,2.49,2.46,2.53,18,2030,5029.00,
500020,BOM DYEING  ,B ,Q,74.70,75.45,71.10,72.75,72.75,75.75,6919,511792,37421676.00,XD
500023,ASIANHOTNR  ,B ,Q,164.50,164.50,157.15,160.35,158.50,164.50,24,709,114720.00,
500024,ASSAMCO     ,B ,Q,5.80,5.82,5.51,5.64,5.64,5.72,454,238356,1343272.00,
500027,ATUL LTD.   ,B ,Q,1327.45,1342.00,1203.00,1229.55,1210.00,1306.70,9322,56945,71915625.00,
500028,ATV PROJECTS,T ,Q,3.90,4.00,3.77,3.81,3.81,3.95,61,7606,28991.00,
500029,AUTOLITE(I) ,B ,Q,25.25,26.50,25.20,25.40,25.40,25.95,31,8301,214200.00,
500031,BAJAJ ELECT.,B ,Q,333.00,334.50,320.30,324.55,324.55,332.35,1514,14090,4583739.00,
500032,BAJAJHIND.LT,B ,Q,26.45,26.45,25.00,25.35,25.35,26.70,2216,398441,10215221.00,
500033,FORCE MOTR  ,B ,Q,552.00,555.00,525.20,531.95,531.95,550.90,3923,75375,40545049.00,
500034,BAJFINANCE  ,A ,Q,2300.00,2318.90,2230.00,2286.75,2290.00,2280.25,488,1291,2961914.00,
500038,BALRAM.CHINI,B ,Q,79.40,79.40,75.55,76.05,76.05,80.70,1166,71885,5554147.00,
500039,BANCO PROD. ,B ,Q,135.35,139.45,132.85,135.55,135.55,138.70,998,29259,3977353.00,
500040,CENTURY TEXT,A ,Q,639.70,643.35,586.40,600.25,600.25,638.80,19787,465847,282227327.00,
500041,BANNARI AMAN,B ,Q,965.00,990.00,955.00,955.55,958.10,967.00,26,430,417608.00,
500042,BASF INDIA  ,B ,Q,858.35,870.30,849.00,855.00,855.00,859.70,424,1279,1100337.00,
500043,BATA INDIA  ,A ,Q,1316.00,1323.10,1285.00,1293.15,1293.15,1318.05,927,9679,12612242.00,
500046,BEST&CROMPT.,T ,Q,5.88,5.88,5.88,5.88,5.88,6.18,3,300,1764.00,
500048,BEML LTD    ,T ,Q,657.00,657.00,632.60,635.45,635.45,652.70,821,11250,7216725.00,
500049,BHARAT ELECT,A ,Q,1837.35,1841.70,1784.85,1796.85,1796.85,1836.35,1558,6264,11339825.00,
500051,BHAG GAS    ,Z ,Q,1.38,1.38,1.38,1.38,1.38,1.45,4,200,276.00,
500052,BHANSALI ENG,B ,Q,20.80,20.80,19.45,20.30,20.30,20.25,62,6452,127960.00,
500055,BHUSH STEEL ,A ,Q,396.50,396.95,392.45,394.70,394.70,394.65,546,31900,12584589.00,
500057,ABCIL       ,B ,Q,206.40,208.00,200.05,202.70,202.70,204.90,266,3269,665146.00,
500058,BIHAR SPONGE,T ,Q,4.22,4.25,4.05,4.23,4.23,4.05,28,5220,21780.00,
500059,BINANI IND. ,B ,Q,124.80,124.80,113.35,114.65,114.65,119.30,1354,86109,9958869.00,
500060,BIRLA ERIC. ,T ,Q,63.50,67.95,63.50,66.25,66.00,66.05,220,23023,1527907.00,
500067,BLUE STAR   ,B ,Q,299.50,302.55,290.55,292.20,292.20,298.00,404,2794,827888.00,
500068,DISA INDIA  ,B ,Q,3353.00,3430.00,3250.00,3417.45,3414.95,3408.90,22,115,377121.00,
500069,BNK CAPITAL ,B ,Q,23.50,23.50,23.50,23.50,23.50,25.50,2,72,1692.00,
500074,BPL LTD.    ,B ,Q,16.30,17.35,16.30,16.75,16.75,16.75,282,40807,687072.00,
500078,CAMPH.& ALL ,B ,Q,296.00,296.00,282.35,290.05,290.65,296.75,284,9556,2741873.00,
