"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
500002,"ABB LTD.    ","A ","Q",579.15,594.9,575.95,591,593.2,578.45,1130,17250,10081381,,"17-02-2014"
500003,"AEGIS LOGIS ","B ","Q",149.05,150.45,141.5,142.4,142.4,148.1,811,9291,1345837,,"17-02-2014"
500008,"AMAR RAJA BA","A ","Q",382.05,383,366.85,369.7,369.7,380.2,2741,43663,16185993,,"17-02-2014"
500009,"A.SARABHAI  ","T ","Q",3.49,3.59,3.32,3.46,3.46,3.49,21,3634,12723,,"17-02-2014"
500010,"HDFC        ","A ","Q",771,788,771,780.55,780.55,771.7,2540,258670,202496270,,"17-02-2014"
500012,"ANDHRA PETRO","B ","Q",8.5,8.5,8.05,8.34,8.34,8.45,165,13637,112491,,"17-02-2014"
500013,"ANSAL INFRAS","B ","Q",19.15,19.15,18.25,18.6,18.5,18.75,61,4586,85340,,"17-02-2014"
500014,"APPLE FINANC","T ","Q",1.87,1.87,1.87,1.87,1.87,1.79,15,16763,31346,,"17-02-2014"
500020,"BOM DYEING  ","B ","Q",51.7,52.2,50.9,51.4,51.4,51.1,1830,150624,7755760,,"17-02-2014"
500023,"ASIANHOTNR  ","B ","Q",94.1,95.05,94.1,95.05,95.05,97.75,3,31,2922,,"17-02-2014"
500024,"ASSAMCO     ","B ","Q",4.75,4.8,4.44,4.48,4.49,4.68,346,244437,1110999,,"17-02-2014"
500027,"ATUL LTD.   ","B ","Q",411.9,414.5,407.1,407.65,407.65,407.75,192,1468,600330,,"17-02-2014"
500028,"ATV PROJECTS","T ","Q",1.87,2.05,1.87,1.9,1.9,1.96,25,5750,11658,,"17-02-2014"
500029,"AUTOLITE(I) ","T ","Q",15.75,15.8,15.75,15.8,15.8,15.05,6,789,12465,,"17-02-2014"
500030,"AUTORID.FIN ","T ","Q",0.82,0.9,0.82,0.9,0.9,0.86,10,1011,829,,"17-02-2014"
500031,"BAJAJ ELECT.","B ","Q",225.15,229,221.6,227.2,227.5,229.4,600,10987,2485497,,"17-02-2014"
500032,"BAJAJHIND.LT","B ","Q",12.75,12.75,12.45,12.52,12.52,12.63,616,134068,1690765,,"17-02-2014"
500033,"FORCE MOTR  ","B ","Q",288.35,315,288.3,307,301,286.85,408,3140,951607,,"17-02-2014"
500034,"BAJFINANCE  ","A ","Q",1480,1515,1480,1500.5,1500.5,1469.45,170,84640,126998518,,"17-02-2014"
500038,"BALRAM.CHINI","B ","Q",40.5,41,39.5,40,40,41.1,261,14236,575598,,"17-02-2014"
500039,"BANCO PROD. ","B ","Q",55,56,55,55.8,55.25,55.6,128,8344,465533,,"17-02-2014"
500040,"CENTURY TEXT","A ","Q",296,298,290.25,296.75,296.75,294.45,2556,120204,35412233,,"17-02-2014"
500041,"BANNARI AMAN","B ","Q",715,715,715,715,715,715,3,35,25025,,"17-02-2014"
500042,"BASF INDIA  ","B ","Q",605,613.45,602,611.35,610,611.45,77,775,472621,,"17-02-2014"
500043,"BATA INDIA  ","A ","Q",1024,1027.8,1005.8,1014.5,1006,1018.6,1268,16883,17157593,,"17-02-2014"
500046,"BEST&CROMPT.","T ","Q",3.56,3.56,3.56,3.56,3.56,3.74,4,2000,7120,,"17-02-2014"
500048,"BEML LTD    ","B ","Q",199,200.9,194.1,197.3,197.3,196.3,1345,38362,7601639,,"17-02-2014"
500049,"BHARAT ELECT","A ","Q",965,977,945,946.35,945.05,962.1,155,496,475470,,"17-02-2014"
500051,"BHAG GAS    ","T ","Q",0.81,0.81,0.81,0.81,0.81,0.84,3,700,567,,"17-02-2014"
500052,"BHANSALI ENG","B ","Q",12.05,12.98,11.76,12.84,12.5,12.37,73,2002,24026,,"17-02-2014"
500055,"BHUSH STEEL ","A ","Q",457,462,451,459,458,458.2,674,63887,29274875,,"17-02-2014"
500057,"ABCIL       ","B ","Q",112,113.95,111.25,112.75,111.25,114.05,330,2710,305826,,"17-02-2014"
500058,"BIHAR SPONGE","T ","Q",2.09,2.27,2.09,2.27,2.27,2.19,2,320,672,,"17-02-2014"
500059,"BINANI IND. ","B ","Q",71.5,73.4,69.2,69.55,69.55,71.8,224,2271,160235,,"17-02-2014"
500060,"BIRLA ERIC. ","T ","Q",22.55,24.55,22.55,24.55,24.55,23.4,36,7264,178130,,"17-02-2014"
500067,"BLUE STAR   ","B ","Q",140.35,141.8,138.3,140.1,141,140.4,201,1669,233185,,"17-02-2014"
500068,"DISA INDIA  ","B ","Q",3321,3380,3321,3378.65,3377,3350,6,10,33557,,"17-02-2014"
500069,"BNK CAPITAL ","B ","Q",21.05,21.05,19.05,19.05,19.05,20.05,5,16,320,,"17-02-2014"
500074,"BPL LTD.    ","B ","Q",14,14,13.33,13.42,13.42,13.4,200,17633,238898,,"17-02-2014"
500078,"CAMPH.& ALL ","B ","Q",158,161.55,158,161.55,161.55,153.9,19,1738,280732,,"17-02-2014"
500083,"CENTURY EXT ","T ","Q",1.04,1.09,1.01,1.09,1.09,1.04,53,178824,185663,,"17-02-2014"
500084,"CESC LTD.   ","A ","Q",427.45,432.85,420,431.3,431.3,422.4,659,10326,4432080,,"17-02-2014"
500085,"CHAMBAL FERT","B ","Q",36.75,37.55,36.5,36.95,36.95,36.8,730,77282,2858540,,"17-02-2014"
500086,"EXIDE IND.  ","A ","Q",108,108,105.8,107.05,107.05,106.2,1393,112820,12049901,,"17-02-2014"
500087,"CIPLA LTD.  ","A ","Q",374,377.9,371.25,374.35,374.35,373.35,5286,169489,63512893,,"17-02-2014"
500089,"DIC INDIA   ","B ","Q",360,363,359.8,362.9,363,360.05,41,1484,536673,,"17-02-2014"
500092,"CRISIL LTD  ","A ","Q",1105,1120.05,1092.25,1107.55,1110.25,1110.55,211,26761,29695629,,"17-02-2014"
500093,"CROMPT.GREAV","A ","Q",121.55,122.4,116.7,118.2,118.2,122.15,2581,231743,27501661,,"17-02-2014"
500095,"WYETH LTD.  ","B ","Q",735,735,716.15,721.55,721.55,730.15,119,688,497624,,"17-02-2014"
500096,"DABUR (I)   ","A ","Q",173.2,175.25,171.7,172.55,172.55,173.2,891,42537,7360279,,"17-02-2014"
500097,"DALMIASUG   ","B ","Q",12.85,12.85,12.4,12.4,12.4,13,2,2,25,,"17-02-2014"
500101,"ARVIND Ltd  ","B ","Q",138,138.6,135.3,137.1,137.1,137.8,3057,212812,29147709,,"17-02-2014"
500102,"BALARPUR IND","B ","Q",11.56,11.73,11.42,11.46,11.46,11.57,528,62807,727039,,"17-02-2014"
500103,"BHEL        ","A ","Q",148.35,150.5,146.2,147.6,147.6,148.4,5405,354389,52422829,,"17-02-2014"
500104,"HIND.PETRO  ","A ","Q",238.9,240.2,232.1,238.15,238.15,236.1,993,29667,7039569,,"17-02-2014"
