SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1049.90,1062.00,1032.05,1038.40,1038.40,1041.10,1145,6573,6864511.00,
500003,AEGIS LOGIS ,B ,Q,286.80,304.95,283.00,300.60,303.65,284.60,3213,33901,9983987.00,
500008,AMAR RAJA BA,A ,Q,495.00,500.90,486.55,490.85,490.85,493.65,1201,10542,5175318.00,
500009,A.SARABHAI  ,T ,Q,4.28,4.32,4.01,4.19,4.10,4.12,38,4229,17685.00,
500010,HDFC        ,A ,Q,1066.85,1070.65,1046.50,1066.45,1066.45,1064.35,5586,81643,86217420.00,
500012,ANDHRA PETRO,B ,Q,9.00,9.11,8.71,8.85,8.85,9.00,154,26798,236988.00,
500013,ANSAL INFRAS,B ,Q,38.75,38.75,37.20,37.50,37.65,39.15,257,38714,1469940.00,
500014,APPLE FINANC,T ,Q,2.55,2.60,2.37,2.59,2.59,2.49,37,5323,12820.00,
500020,BOM DYEING  ,B ,Q,73.00,73.10,70.40,70.95,70.95,72.75,5283,366362,26194154.00,
500023,ASIANHOTNR  ,B ,Q,157.60,157.60,150.20,150.45,150.25,160.35,125,5450,833995.00,
500024,ASSAMCO     ,B ,Q,5.70,5.70,5.50,5.54,5.54,5.64,445,272578,1517899.00,
500027,ATUL LTD.   ,B ,Q,1229.00,1229.00,1151.00,1195.85,1195.85,1229.55,7637,40861,48678339.00,
500028,ATV PROJECTS,T ,Q,3.67,3.99,3.65,3.98,3.99,3.81,26,5005,18647.00,
500029,AUTOLITE(I) ,B ,Q,24.90,25.00,24.70,24.75,24.75,25.40,27,2625,65146.00,
500031,BAJAJ ELECT.,B ,Q,332.85,345.60,325.00,336.80,337.95,324.55,2173,22115,7478453.00,
500032,BAJAJHIND.LT,B ,Q,25.20,25.35,24.30,24.45,24.45,25.35,2284,380564,9391201.00,
500033,FORCE MOTR  ,B ,Q,543.00,557.00,536.00,539.10,539.10,531.95,4561,92211,50199438.00,
500034,BAJFINANCE  ,A ,Q,2274.85,2274.85,2211.30,2225.80,2222.05,2286.75,318,869,1942445.00,
500038,BALRAM.CHINI,B ,Q,75.00,76.50,73.00,73.40,73.40,76.05,943,53020,3937850.00,
500039,BANCO PROD. ,B ,Q,134.20,135.10,130.00,130.90,131.70,135.55,787,13978,1853479.00,
500040,CENTURY TEXT,A ,Q,600.00,608.20,585.50,592.50,592.50,600.25,8993,184798,110247215.00,
500041,BANNARI AMAN,B ,Q,958.10,975.00,923.10,975.00,975.00,955.55,56,542,513968.00,
500042,BASF INDIA  ,B ,Q,854.00,866.00,854.00,863.50,863.90,855.00,351,825,708625.00,
500043,BATA INDIA  ,A ,Q,1300.00,1300.65,1250.75,1258.30,1258.30,1293.15,1588,15085,19080512.00,
500046,BEST&CROMPT.,T ,Q,6.17,6.17,5.59,5.59,5.59,5.88,31,5866,33402.00,
500048,BEML LTD    ,T ,Q,630.00,630.00,605.00,611.70,611.70,635.45,901,10512,6429865.00,
500049,BHARAT ELECT,A ,Q,1810.00,1810.00,1735.00,1738.45,1738.45,1796.85,1399,5401,9497508.00,
500052,BHANSALI ENG,B ,Q,20.50,20.50,20.50,20.50,20.50,20.30,6,30,615.00,
500055,BHUSH STEEL ,A ,Q,394.50,397.00,392.70,394.90,394.90,394.70,1033,90096,35619615.00,
500057,ABCIL       ,B ,Q,210.00,214.20,198.50,201.15,202.00,202.70,270,2100,423289.00,
500058,BIHAR SPONGE,T ,Q,4.38,4.38,4.03,4.03,4.03,4.23,16,1650,6921.00,
500059,BINANI IND. ,B ,Q,113.50,114.80,109.00,109.90,109.90,114.65,674,16278,1822450.00,
500060,BIRLA ERIC. ,T ,Q,64.95,66.70,63.00,63.20,63.00,66.25,292,17010,1101757.00,
500067,BLUE STAR   ,B ,Q,290.00,300.60,285.70,295.65,295.65,292.20,1185,16631,4911569.00,
